protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|P49792|RBP2_HUMAN	1	0.999989613	8	155404608	427253588	0	0	422287827	448230480	0	44983008	0
sp|P49848|TAF6_HUMAN	1	0.886319278	2	0	16967888	0	0	17571934	5630231	0	0	0
sp|P50914|RL14_HUMAN	1	0.9464076	3	5908179	783769712	0	6586400	770509504	919454560	13632450	8406304	75108157
sp|P51114|FXR1_HUMAN	1	1	35	0	28210281601	0	0	32889116919	24247109460	0	0	0
sp|P51523|ZNF84_HUMAN	1	0.894892963	2	0	0	0	0	671557.375	27301480	0	0	0
sp|P51532|SMCA4_HUMAN	1	1	27	77010103	3876130299	355535088	160676328	3510064686	2852412987	1078457048	212437121.9	237216416
sp|P51610|HCFC1_HUMAN	1	0.998807745	8	18423100	666686186	15639250	20879540	932740368	678601852	41950310	31994200	22802310
sp|P51991|ROA3_HUMAN	1	0.999999971	24	4858819506	11301008500	4618722187	5571639820	11568786510	10836188058	5067292564	4473219682	4691058268
sp|P52272|HNRPM_HUMAN	1	1	35	465320640	12758866944	249005428	440058876	11577241443	11800321200	927370406	819348637.5	883303632.5
sp|P52292|IMA1_HUMAN	1	0.970791431	4	0	512757120	0	71187008	4504339264	235860096	0	0	0
sp|P52294|IMA5_HUMAN	1	0.890058699	1	0	5224401	0	0	0	0	0	0	0
sp|P52434|RPAB3_HUMAN	1	0.960436252	4	30950257	180889030	9785277	9271966	95791366	74038280	34824401	2720196	0
sp|P52435|RPB11_HUMAN	1	0.885004376	4	0	179341588	0	0	15303220	171060672	20716332	17398518	15634354
sp|P52597|HNRPF_HUMAN	1	0.99999211	16	731641777	13234280664	789432719	947870798	11096895967	10831194704	1820467788	1410677024	1223706306
sp|P52701|MSH6_HUMAN	1	0.977778727	6	6985966	442296373	8048853	8856721	612080856	128383584	11892070	15900498	0
sp|P52756|RBM5_HUMAN	1	0.950916346	4	0	132951562	0	0	96996222	8514964	0	0	0
sp|P52789|HXK2_HUMAN	1	0.879826597	1	0	10351890	0	0	0	31435630	0	0	0
sp|P52948|NUP98_HUMAN	1	0.999489501	12	0	1086367792	0	0	911196088	1013577967	0	21450390	0
sp|P53814|SMTN_HUMAN	1	0.863016745	1	0	0	0	0	85720.60938	0	0	0	0
sp|P54274|TERF1_HUMAN	1	0.882297474	3	7449365	0	6774951	0	142604296	71975352	11879660	8929229	63192750
sp|P55060|XPO2_HUMAN	1	0.863958688	1	0	8422524	0	0	0	0	0	0	0
sp|P55072|TERA_HUMAN	1	1	52	214554932	31302076862	0	0	29086883452	28088746392	152940704	0	152032496
sp|P55209|NP1L1_HUMAN	1	0.984769055	6	6109702	1011409936	0	93410687	504857980	948611000	75654280	74395232	0
sp|P55769|NH2L1_HUMAN	1	0.948015887	3	0	0	0	0	485082688	624061696	0	0	0
sp|P55795|HNRH2_HUMAN	1	0.999325173	4	3899183	136984638	9285523	2278165	266847696	180629963	15600180	12812740	11364020
sp|P55884|EIF3B_HUMAN	1	0.939272972	2	0	50352272	0	0	47713008	155640088	0	0	0
sp|P56270|MAZ_HUMAN	1	0.921099886	2	29345290	0	26826060	47412038	33571648	24333070	23260900	20840920	18154640
sp|P56537|IF6_HUMAN	1	0.949551857	4	0	89992112	0	0	110602672	312198612	0	0	0
sp|P57740|NU107_HUMAN	1	0.994891052	9	2997631	460043037	12008490	39746402	384157278	433631258	19028793	0	0
sp|P60228|EIF3E_HUMAN	1	0.901836541	2	0	60347800	0	0	78266275	81153208	0	0	0
sp|P60842|IF4A1_HUMAN	1	0.960457095	1	0	0	0	0	0	137541104	0	0	0
sp|P60866|RS20_HUMAN	1	0.982204286	5	72297776	3544519232	86076816	77411472	3787227608	4100304416	88009024	238343376	157210096
sp|P61247|RS3A_HUMAN	1	0.999997556	20	91875350	7101568877	57371009	148615968	9896553468	5141623120	508940988	415008459	751693131
sp|P61254|RL26_HUMAN	1	0.996850039	3	0	197073684	0	13420670	84335268	90837602	20816740	19659940	15075440
sp|P61313|RL15_HUMAN	1	0.99992422	15	87293524	6772215760	78932000	92993580	5648872283	5145063338	296870872	131189842	265172342
sp|P61326|MGN_HUMAN	1	0.989046818	1	0	0	0	0	0	10928950	0	0	0
sp|P61353|RL27_HUMAN	1	0.99976441	13	101586200	33871385260	85102736	116610896	44753493736	4662168768	206932304	185169600	276896668
sp|P61513|RL37A_HUMAN	1	0.975401382	6	34882752	2293887072	30701940	36793408	2453701716	1503749728	140580942	68431584	88883880
sp|P61927|RL37_HUMAN	1	0.959940229	4	0	71782590	0	0	276320584	139066640	0	0	0
sp|P61964|WDR5_HUMAN	1	0.915620936	3	0	375757744	0	0	419691612	312112896	0	29866000	0
sp|P61978|HNRPK_HUMAN	1	0.999945424	13	337579545	1892548068	185101286	343993588	1735566266	1524042893	182360803	136660188	77618062
sp|P62081|RS7_HUMAN	1	0.999992362	18	208666732	6009624730	176153140	192899200	4406993098	5224432652	189246032	147946255	169624188
sp|P62136|PP1A_HUMAN	1	0.992714016	2	0	68556312	0	0	292229640	40944192	0	0	0
sp|P62241|RS8_HUMAN	1	0.999798912	12	73094420	4904373072	18086600	84855272	5085623430	4673155886	215696440	172498960	88546546
sp|P62244|RS15A_HUMAN	1	0.999702004	13	59147280	5674480540	7905376	71628560	5905169374	4787825168	230199382	122171124	165908664
sp|P62249|RS16_HUMAN	1	0.999693389	10	25214858.38	2944389756	95723924	75008709.5	3376768560	2875444920	218011974	111710025	146234351
sp|P62263|RS14_HUMAN	1	0.999486609	10	0	7143702970	0	0	5146429372	5616311432	0	0	0
sp|P62266|RS23_HUMAN	1	0.995901168	7	88318460	2917546096	67674110	77612152	2529753934	2915500592	192123048	168829434	215077542
sp|P62269|RS18_HUMAN	1	0.99996833	14	143563306	5578852136	42783257	63260970	5871482172	5572051570	314062428	139903340	69476792
sp|P62273|RS29_HUMAN	1	0.921129287	4	37454260	1866975776	32980420	40756940	936755372	1133129200	115533468	94490450	61531012
sp|P62277|RS13_HUMAN	1	0.999871173	12	64017717	4573258488	23881600	57205310	5181837912	3984949376	128176630	178405856	72621170
sp|P62280|RS11_HUMAN	1	0.999250914	11	109423320	5113483152	110327340	111599488	4667245864	4893677440	440674288	377299488	360393808
sp|P62304|RUXE_HUMAN	1	0.902295832	2	179154088	810615082	141433895	211439408	963505792	999418904	89742592	78664952	87535986
sp|P62306|RUXF_HUMAN	1	0.977502623	5	210167556	766434128	182046732	291829816	627840478	321548196	26452250	37435700	16605980
sp|P62314|SMD1_HUMAN	1	0.973267565	4	943723472	1320103104	693333804	1134419184	2344207552	2621603136	622523512	470956704	443399600
sp|P62316|SMD2_HUMAN	1	0.984699446	6	465326376	4287253088	715617120	928134872	898223888	4976920640	585333408	305281924	251501400
sp|P62318|SMD3_HUMAN	1	0.963861133	4	585819736	2183155048	642860720	691393896	2126298336	2011448576	365828304	336575200	322386800
sp|P62424|RL7A_HUMAN	1	0.999986016	17	0	6882925192	0	25045390	6079569868	6107224926	50604832	101780368	144402080
sp|P62487|RPB7_HUMAN	1	0.938182329	3	0	109374238	0	0	37463968	43430672	0	0	0
sp|P62701|RS4X_HUMAN	1	0.999999698	12	202812106	5033248116	109212488	66433730	3888365872	4111752744	218830500	307568780	275207170
sp|P62750|RL23A_HUMAN	1	0.999766543	12	35155752	3288998575	35202930	217478592	4587429222	2015516646	147738462	131447328	86497352
sp|P62753|RS6_HUMAN	1	0.999596357	13	56289808	1581565169	0	0	1787840932	1832689378	89752680	81339400	76358144
sp|P62805|H4_HUMAN	1	0.999993519	17	9912492230	44896435763	9223431412	11295996312	42176978334	56659734241	14461059174	13204705512	13219657752
sp|P62826|RAN_HUMAN	1	0.966574792	4	0	111664480	0	0	360431352	358444504	22929150	24248840	23730850
sp|P62829|RL23_HUMAN	1	0.998718646	10	59677650	4273417968	35796010	43349790	3206844594	2653214840	150273730	137373952	97112408
sp|P62841|RS15_HUMAN	1	0.994803074	7	0	2285831599	38144678	57308352	2043023822	2259787092	182054496	157268482	61814984
sp|P62847|RS24_HUMAN	1	0.988785014	6	43681848	1284381324	41977426	60522408	1394005856	1234331072	161279103	67156240	58076208
sp|P62851|RS25_HUMAN	1	0.985861609	5	42110688	3448702462	46157620	38296752	3960436896	3438377904	262350712	267195232	265442648
sp|P62854|RS26_HUMAN	1	0.956362034	1	0	253408916	0	0	192365296	243108382	0	0	0
sp|P62857|RS28_HUMAN	1	0.922792466	2	0	22835970	0	0	347061560	468806904	0	0	0
sp|P62861|RS30_HUMAN	1	0.936104424	3	0	844916880	0	0	907494682	838593834	3506559	0	0
sp|P62875|RPAB5_HUMAN	1	0.898377639	2	15499410	170119648	0	0	144213504	112463600	0	0	0
sp|P62888|RL30_HUMAN	1	0.995764109	8	0	2715495732	27221870	0	2345764380	3037539568	159559888	112792448	0
sp|P62899|RL31_HUMAN	1	0.997122256	8	0	1458200704	0	47662840	1600409872	1504282470	126103256	133080846	138175136
sp|P62906|RL10A_HUMAN	1	0.999320692	11	33872660	4551775114	0	0	4457958052	4433973808	210130526	12471490	101050552
sp|P62910|RL32_HUMAN	1	0.996812382	8	30582640	2546971832	78595200	35223060	3760946268	2541311040	109754720	85158808	72507352
sp|P62913|RL11_HUMAN	1	0.999631279	12	967471480	2215880117	18563650	18933480	1974987100	3003910792	46647232	79314283	101719924
sp|P62917|RL8_HUMAN	1	0.999574594	12	28831650	2450892518	26703630	0	3530470272	1893831408	102398471	85309618	76191432
sp|P62987|RL40_HUMAN	1	0.925816409	4	36188170	337861846	33657570	19730990	277337296	233314183	49772880	36634840	22084430
sp|P62995|TRA2B_HUMAN	1	0.992505137	8	50999952	321251768	84816696	100742600	300382144	466668886	106076690	32829550	85444292
sp|P63167|DYL1_HUMAN	1	0.985922632	4	0	147539440	0	0	342919112	453172856	0	0	0
sp|P63173|RL38_HUMAN	1	0.969778079	4	49400140	1207744860	43458020	89078570	1033811760	1136848040	127410072	109712868	115672944
sp|P63208|SKP1_HUMAN	1	0.96184667	4	2797374	172717843	0	2404994	159107208.8	71179592	0	0	0
sp|P63220|RS21_HUMAN	1	0.941930317	3	0	466898256	0	0	443339976	375305472	0	0	0
sp|P63244|RACK1_HUMAN	1	0.999152448	11	0	1876369538	0	0	2624580650	2403075872	0	0	0
sp|P63261|ACTG_HUMAN	1	0.999999708	1	0	17336620	0	0	0	0	0	0	0
sp|P67809|YBOX1_HUMAN	1	0.893162638	2	153132000	59476680	0	0	136121792	258941360	0	0	0
sp|P68104|EF1A1_HUMAN/sp|Q5VTE0|EF1A3_HUMAN	2	0.995669888	7	682352076	815254410	374996194	360564529	442526434	405777893	304204840	221795656	161479008
sp|P68366|TBA4A_HUMAN	1	0.957231659	1	0	54356770	0	0	42533200	41300912	0	0	0
sp|P68371|TBB4B_HUMAN	1	0.99334893	1	0	214419600	0	110291400	119893696	223299696	0	0	0
sp|P68400|CSK21_HUMAN	1	0.999984502	2	0	338910592	0	0	748737824	223856364	0	30292730	30021860
sp|P68431|H31_HUMAN	1	0.973475233	1	22769413	286866360	33105871	23954113	226612872	210459544	12504168	0	15601709
sp|P78347|GTF2I_HUMAN	1	0.97965556	5	8521910	155794364	0	10111540	274782832	182306328	24139470	11804640	666482.125
sp|P78364|PHC1_HUMAN	1	0.906092194	3	0	56174872	0	0	113140508	0	7393805	0	0
sp|P78406|RAE1L_HUMAN	1	0.989952189	6	0	811208336	0	0	854223159	512063288	0	0	0
sp|P81877|SSBP2_HUMAN/sp|Q9BWW4|SSBP3_HUMAN	2	0.882672221	3	0	73090848	0	0	287839784	197927760	0	0	0
sp|P83731|RL24_HUMAN	1	0.999240587	12	6235878	4264513008	5141620	0	3949236117	4051139160	58251131	58854358	38830208
sp|P83881|RL36A_HUMAN	1	0.965123269	1	0	15224520	0	0	20453750	82153378	0	0	0
sp|P83916|CBX1_HUMAN	1	0.968069084	4	0	209401824	0	52412888	229454232	96207632	0	0	0
sp|P84090|ERH_HUMAN	1	0.934692033	4	106581108	1311380624	0	0	590367488	1212305678	194975784	84580976	188446792
sp|P84098|RL19_HUMAN	1	0.998989748	9	6917933	2099173069	6663330	1062910976	2384773424	1559694497	901677112	736678858	634382594
sp|P84103|SRSF3_HUMAN	1	0.997322047	8	100032686	1215933842	39235560	19804280	1006359072	1035444156	47402912	52360051	33418280
sp|P84243|H33_HUMAN	1	0.976457681	2	32113910	341769597	11639364	38192440	205645920	0	2087557	0	0
sp|P98160|PGBM_HUMAN	1	0.874398268	1	0	0	0	0	62575512	0	0	0	0
sp|P98175|RBM10_HUMAN	1	0.988062414	5	0	1710966400	0	0	193001376	244431600	0	0	0
sp|PRDX1_HUMAN|/sp|Q06830|PRDX1_HUMAN	2	0.86857005	3	43708860	72642912	41320460	43947930	0	39405312	33749680	27795170	172208304
sp|Q00610|CLH1_HUMAN	1	0.968635323	5	0	168962704	0	0	224672515	0	0	0	0
sp|Q00839|HNRPU_HUMAN	1	1	35	3207641302	18404581219	3440330120	4967720230	16668416540	15239136107	5249348146	4707673474	3006526125
sp|Q01082|SPTB2_HUMAN	1	0.908648092	2	0	6300090	0	0	173798496	0	0	0	0
sp|Q01085|TIAR_HUMAN	1	0.993205995	4	2151416500	1836771644	652575277	2586846384	153481904	514112876	2093621403	1715584720	1702235366
sp|Q01105|SET_HUMAN	1	0.912883012	3	48656970	496973192	0	0	136608400	453252784	0	0	0
sp|Q01130|SRSF2_HUMAN	1	0.911114349	1	0	0	0	0	9955333	0	0	0	0
sp|Q01844|EWS_HUMAN	1	0.99999509	19	85595408	71644486020	22530170	106621104	67596265797	65537461816	0	0	0
sp|Q02543|RL18A_HUMAN	1	0.999898787	15	44096408	5080152504	49587750	75055020	4485981378	4627681044	275574680	236540038	224015372
sp|Q02878|RL6_HUMAN	1	0.99944112	12	73605190	4454365132	103049452	9128060	3347691354	2504805226	192039998	273323992	147653816
sp|Q02880|TOP2B_HUMAN	1	0.999997956	6	0	115985670	0	0	69160240	47375065	0	0	0
sp|Q03001|DYST_HUMAN	1	0.954124091	1	0	0	0	0	998742080	0	0	0	0
sp|Q05209|PTN12_HUMAN	1	0.901875308	2	0	13372670	0	0	14175560	20473070	0	0	0
sp|Q05519|SRS11_HUMAN	1	0.9479658	3	17566940	126914896	14433760	14167750	10997923160	9364796736	14302410	0	15253390
sp|Q06265|EXOS9_HUMAN	1	0.900247732	2	0	0	0	0	26588200	0	0	0	0
sp|Q06330|SUH_HUMAN	1	0.904210245	3	80315360	993451768	36235320	133096160	621889392	863098728	386106592	0	0
sp|Q06787|FMR1_HUMAN	1	0.968916505	3	0	274335024	0	0	245792840	200400708	0	0	0
sp|Q07020|RL18_HUMAN	1	0.980836133	5	20303910	1522300056	0	0	994763088	1865780840	0	34163032	34042088
sp|Q07666|KHDR1_HUMAN	1	0.966884731	8	60950560	1117965106	100844980	69049272	657390664	1061392024	167015512	117506304	261685300
sp|Q07955|SRSF1_HUMAN	1	0.996658444	8	44211820	1893362520	109663720	61209109	2313386312	1884112080	165119236	106161908	91000560
sp|Q08188|TGM3_HUMAN	1	0.938750787	3	10017110	507899104	16731550	0	0	464778592	0	0	0
sp|Q08211|DHX9_HUMAN	1	1	38	1755724871	9061735819	1531263250	1802312142	7298757650	7113679368	2428147282	1995248804	2493600303
sp|Q08554|DSC1_HUMAN	1	0.867383653	2	115052496	0	0	242494264	0	0	0	0	0
sp|Q08945|SSRP1_HUMAN	1	0.999999902	25	699395483	7917379335	202546670	152749586	7391973854	5968341346	502808142	440518508	416808074
sp|Q09028|RBBP4_HUMAN	1	0.999999958	17	149585108	31535873584	106867370	178880412	32359972472	30358103482	8367228472	7180624422	7103411900
sp|Q09161|NCBP1_HUMAN	1	0.996478683	7	0	168927971	0	6681306	169971590	50333196	0	0	0
sp|Q10570|CPSF1_HUMAN	1	0.999999793	25	0	303804810	0	0	384766516	276586750	861674487	746847644	878910190
sp|Q12769|NU160_HUMAN	1	0.999328862	11	5274087320	4953565645	0	28525530	1075987980	4684793238	27549340	21409900	13050320
sp|Q12789|TF3C1_HUMAN	1	1	46	98971.46875	45101906333	41589808	0	37298319964	43554040550	0	53345440	0
sp|Q12824|SNF5_HUMAN	1	0.997324874	8	29261019	870634008	0	0	475128556	418054819	0	16080430	13483150
sp|Q12830|BPTF_HUMAN	1	0.999999792	24	7207914	1663690476	9459964	8889923	1399207633	4232088902	0	9302163	0
sp|Q12874|SF3A3_HUMAN	1	1	41	39311200	71366781933	39131508.13	44236849	57137881740	65386184268	0	0	0
sp|Q12905|ILF2_HUMAN	1	0.999930265	14	0	2183273524	12011750	0	1891487102	1504234842	67923730	0	0
sp|Q12906|ILF3_HUMAN	1	0.999962072	12	104557308	2745619126	52000752	64309808	1761391204	2528775236	86085253	55722862	45223792
sp|Q12996|CSTF3_HUMAN	1	0.880437629	2	0	18074671	0	0	0	0	0	0	0
sp|Q13087|PDIA2_HUMAN	1	0.879363768	1	19522170	0	0	0	0	0	0	0	0
sp|Q13123|RED_HUMAN	1	0.998115642	10	0	387609520	0	0	1484629660	387248576	8372390	0	0
sp|Q13127|REST_HUMAN	1	0.951954198	3	64064360	76943984	67121128	64256980	78348624	203481440	66874392	62547840	50210112
sp|Q13129|RLF_HUMAN	1	0.875715123	1	0	0	0	0	6067200	0	0	0	0
sp|Q13148|TADBP_HUMAN	1	0.999239991	11	568620584	2230257660	475896319	649303862	3320635582	2455981880	628965264	480549042	340309241
sp|Q13151|ROA0_HUMAN	1	0.961538646	3	314497134	786008866	292280236	359251830	698203812	696645208	268904972	266075554	225820558
sp|Q13185|CBX3_HUMAN	1	0.998038231	8	593628582	6273968328	505537180	790083610	6515152819	6931649497	944445204	937679356	856510922
sp|Q13206|DDX10_HUMAN	1	0.866674633	2	0	25463543	0	0	54741710	26258454	0	0	0
sp|Q13243|SRSF5_HUMAN	1	0.951185303	4	0	202732536	0	0	168137454	158202248	17982070	0	0
sp|Q13247|SRSF6_HUMAN	1	0.992421234	7	0	679659192	33486970	0	851195256	882527412	51750257	0	39590768
sp|Q13263|TIF1B_HUMAN	1	0.999997989	20	442222246	2775470834	554984924	486904366	14660030588	3089385138	652037154	410727330	536365482
sp|Q13330|MTA1_HUMAN	1	0.999997872	12	0	389527488	0	0	376678152	469153588	10400520	0	6903811
sp|Q13415|ORC1_HUMAN	1	0.937806982	3	0	200387384	0	0	92507232	123895904	16609000	0	0
sp|Q13435|SF3B2_HUMAN	1	0.999999874	23	36390432	8391318062	69199040	128219140	8156279380	7896536400	42799928	0	25974030
sp|Q13509|TBB3_HUMAN	1	0.976076991	1	0	33459900	0	0	26111280	30143370	0	0	0
sp|Q13523|PRP4B_HUMAN	1	0.99965157	11	40927148	431961611	20939820	0	223864464	399267720	0	169206896	133128823
sp|Q13547|HDAC1_HUMAN	1	0.99999741	11	24318900	2171177688	16116240	54862642	2430075212	1924053324	164123268	132614582	156002608
sp|Q13573|SNW1_HUMAN	1	0.999884404	13	54048155	454816044	40568061	17245976	868676227	553551820	39706333	0	1879127
sp|Q13595|TRA2A_HUMAN	1	0.946504286	3	20772040	247860574	20435410	31017530	159241516	180344336	22789890	21596320	0
sp|Q13619|CUL4A_HUMAN	1	0.952076748	1	14330040	0	20762500	15228790	33850560	0	0	0	0
sp|Q13620|CUL4B_HUMAN	1	0.971207592	3	6286265	20474462	0	3367329	13692510	61571310	0	0	0
sp|Q13643|FHL3_HUMAN	1	0.849366035	2	0	0	16057070	0	0	0	0	19742690	0
sp|Q13838|DX39B_HUMAN	1	0.898357393	1	0	0	0	0	15331750	0	0	0	0
sp|Q13885|TBB2A_HUMAN/sp|Q9BVA1|TBB2B_HUMAN	2	0.98169563	2	0	330180192	0	0	200545296	0	0	58315720	12680310
sp|Q13887|KLF5_HUMAN	1	0.907533515	1	0	9591261	0	0	0	0	0	0	0
sp|Q13895|BYST_HUMAN	1	0.881432388	2	0	70934850	0	0	44475710	0	0	0	0
sp|Q14004|CDK13_HUMAN	1	0.879920197	2	0	10180270	0	0	3690927	0	0	0	0
sp|Q14103|HNRPD_HUMAN	1	0.999999497	20	7685076355	17733827160	7676552871	8972065934	14221629696	17432586104	7593597278	6522792702	6137019038
sp|Q14152|EIF3A_HUMAN	1	0.962143255	4	0	186784980	0	0	38609475	29132990	0	0	0
sp|Q14157|UBP2L_HUMAN	1	0.999522699	11	0	1781636624	0	0	1343982158	1684904600	0	0	0
sp|Q14202|ZMYM3_HUMAN	1	0.965556501	3	28327990	92518374	27130580	26211800	103781026	376004080	0	0	0
sp|Q14204|DYHC1_HUMAN	1	0.894062657	2	0	5744743	0	0	0	12855723	0	0	0
sp|Q14498|RBM39_HUMAN	1	0.99989329	14	131560362	2660953665	66483010	72921730	1696315128	1508847954	0	71523120	0
sp|Q14562|DHX8_HUMAN	1	0.95247168	3	0	29976770	0	0	94355038	19648344	0	7792557	0
sp|Q14669|TRIPC_HUMAN	1	0.999999999	33	76284573	1482754861	36717668	73021556	1590783995	1113090329	114457796	59954192	64527105
sp|Q14683|SMC1A_HUMAN	1	0.998406743	10	2953561	492696276	4131237	3303325	424422178	318142140	0	0	0
sp|Q14690|RRP5_HUMAN	1	0.98362992	6	0	231740124	0	0	273848500	172235230	0	7773997	0
sp|Q14692|BMS1_HUMAN	1	0.905929423	3	0	441735008	0	0	12327830	0	49984768	0	0
sp|Q14807|KIF22_HUMAN	1	0.944213477	4	0	86857290	0	0	188115678	184229152	0	0	0
sp|Q14839|CHD4_HUMAN	1	1	40	263040590	8526129822	211430132	414050527	9207042147	7906024304	489765228	405105702	424504970
sp|Q14865|ARI5B_HUMAN	1	0.856525564	1	0	23659030	0	0	0	0	0	0	0
sp|Q14966|ZN638_HUMAN	1	0.91071422	3	0	0	0	0	44379140	14890740	0	0	0
sp|Q14974|IMB1_HUMAN	1	0.999999539	21	318790391	2697116568	302892863	436964549	2093013364	2818293531	312220160	320417915	345354852
sp|Q14980|NUMA1_HUMAN	1	0.99244021	7	0	254257158	0	0	293055140	220864292	0	0	0
sp|Q14997|PSME4_HUMAN	1	0.864355	1	0	585459904	16613000	0	316772000	37320800	0	32029570	0
sp|Q15014|MO4L2_HUMAN	1	0.901319765	2	0	44576392	0	0	39391043	47704512	0	0	0
sp|Q15022|SUZ12_HUMAN	1	1	48	0	1.19E+11	15763580	47657520	96940506246	1.05E+11	47305894115	42140905374	40674852890
sp|Q15027|ACAP1_HUMAN	1	0.986238398	5	0	249744388	0	0	97042820	366583962	0	0	0
sp|Q15029|U5S1_HUMAN	1	1	30	293438909	5348533474	338070853	307648708	5198774884	5205089690	136361556	75854460	69205048
sp|Q15059|BRD3_HUMAN	1	0.862063726	1	12768500	0	0	0	0	0	46086648	38147060	27645010
sp|Q15147|PLCB4_HUMAN	1	0.850005881	1	271839240	0	995476629	268838281	0	0	295479277	531088704	8238305
sp|Q15233|NONO_HUMAN	1	0.999918924	13	235996649	529146884	279735031	427655603	551918282	273641822	492728095	403719868	107102750
sp|Q15287|RNPS1_HUMAN	1	0.984543639	5	0	512289076	0	0	535562382	567981258	0	0	0
sp|Q15365|PCBP1_HUMAN	1	0.94813557	1	0	37737470	0	0	20938050	0	0	0	0
sp|Q15366|PCBP2_HUMAN	1	0.94665032	1	0	31780800	0	0	0	0	0	0	0
sp|Q15369|ELOC_HUMAN	1	0.996298665	7	2449812992	13229467296	1211523008	722892720	13168897440	13129307224	4912496016	3387762640	3966395568
sp|Q15370|ELOB_HUMAN	1	0.999668019	11	895757560	14945638064	731152712	707242304	10993311824	10577532488	4757524486	4632452056	2599766504
sp|Q15386|UBE3C_HUMAN	1	0.869016111	1	0	131212896	0	0	0	0	0	0	0
sp|Q15393|SF3B3_HUMAN	1	1	47	48404351	11344682970	57253930	109497109	10678264629	9720401538	7309735	57959820	44239312
sp|Q15424|SAFB1_HUMAN	1	0.880528175	1	0	0	0	0	0	0	39137928	0	0
sp|Q15427|SF3B4_HUMAN	1	0.981943117	4	22240275	1175664888	10811506	52020584	1115569312	552172936	0	0	0
sp|Q15428|SF3A2_HUMAN	1	0.999995482	18	35047060	48832236598	0	18412360	46562497442	38998906672	4997958	0	0
sp|Q15459|SF3A1_HUMAN	1	1	51	0	1.21E+11	0	50031200	1.14E+11	1.19E+11	0	0	31889370
sp|Q15554|TERF2_HUMAN	1	0.998179319	10	0	1500617470	0	0	1438014921	1755188736	0	0	0
sp|Q15637|SF01_HUMAN	1	0.990529756	7	63745975	210995884	66717659	86074532	160332082	351866896	49035032	40617072	36307920
sp|Q15652|JHD2C_HUMAN	1	0.971788502	4	0	47261320	0	0	173152364	24568940	0	0	0
sp|Q15717|ELAV1_HUMAN	1	0.985718526	6	108834720	626349406	34686690	49932250	505290646	353520468	118245622	75262932	97885020
sp|Q15910|EZH2_HUMAN	1	1	37	0	96867373730	0	0	88417439020	89025118336	23664645228	21636989948	19478398904
sp|Q16531|DDB1_HUMAN	1	0.999983565	17	856072474	581331576	848900126	1010273846	338032328	457352396	215137308	100460722	159362492
sp|Q16576|RBBP7_HUMAN	1	0.999998789	13	0	6418581920	0	0	5748420368	6132917454	1139406440	831298768	509714050
sp|Q16629|SRSF7_HUMAN	1	0.998528765	8	50889920	1986539528	42890328	85231128	1604745866	1716649961	275991376	65275192	67991582
sp|Q16656|NRF1_HUMAN	1	0.891028115	2	0	14469230	0	0	148547696	235959174	0	0	0
sp|Q1KMD3|HNRL2_HUMAN	1	0.999519029	11	46710480	1511444920	23222960	330761916	1506725234	1518681896	323133562	73093300	80104248
sp|Q2NL82|TSR1_HUMAN	1	0.854209692	2	0	258219118	0	0	26199590	10159920	0	0	0
sp|Q2TAY7|SMU1_HUMAN	1	0.998979125	10	77262864	1225777784	2428523	140629260	600204064	816070630	20980690	0	0
sp|Q3L8U1|CHD9_HUMAN	1	0.984914944	1	0	4613124	0	0	0	0	0	0	0
sp|Q3ZCQ8|TIM50_HUMAN	1	0.8939422	2	0	89783094	9173845	5141261	93432880	93442888	0	0	12724730
sp|Q49A26|GLYR1_HUMAN	1	0.996104957	6	0	66647268	0	0	263911022	594240810	0	0	0
sp|Q53GS9|SNUT2_HUMAN	1	0.998323802	9	11013720	1400747239	9900914	0	1392283402	1505535789	0	0	0
sp|Q5JTH9|RRP12_HUMAN	1	0.992719495	7	14500598	544229276	10568470	6675756	488631276	455848086	38648690	41037160	14730820
sp|Q5M775|CYTSB_HUMAN	1	0.917006566	1	39260160	0	27022760	47368528	0	0	43596728	30379890	31071770
sp|Q5SRE5|NU188_HUMAN	1	0.996321749	6	0	114412648	0	0	175643520	110206910	6242524	5869185	0
sp|Q5T5X7|BEND3_HUMAN	1	0.957683201	4	0	37220760	0	0	0	71549540	0	0	0
sp|Q5T6S3|PHF19_HUMAN	1	0.999265281	10	0	553494480	0	0	942227786	1007685329	310970442	270547694	361399036
sp|Q5T9A4|ATD3B_HUMAN	1	0.895380822	1	0	674506176	0	0	0	0	0	0	0
sp|Q5TA45|INT11_HUMAN	1	0.901763714	2	0	0	0	0	14488000	63134398	0	0	0
sp|Q5TGY3|AHDC1_HUMAN	1	0.99523098	8	0	264153498	0	0	163949150	313065164	0	0	0
sp|Q5UIP0|RIF1_HUMAN	1	0.999824304	12	17605576	1987800716	26023895	80652396	2109942656	1906122216	2438590	39947168	106548652
sp|Q5VT52|RPRD2_HUMAN	1	0.953431704	5	152454304	64397672	151558208	194812800	353993700	87979610	147978208	107635104	97609568
sp|Q5VTQ0|TT39B_HUMAN	1	0.862411784	1	0	0	0	0	0	85724072	0	0	40121992
sp|Q5VZ46|K1614_HUMAN	1	0.852042817	4	0	36774193	116363904	0	35163320	239642246	0	0	0
sp|Q5VZL5|ZMYM4_HUMAN	1	0.9561875	2	0	17253410	0	0	45230700	0	0	0	0
