protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|O60832|DKC1_HUMAN	1	0.954524942	5	0	64927040	0	0	96562648	122252160	23370170	0	0
sp|O60884|DNJA2_HUMAN	1	0.946968703	3	0	101114500	0	0	449737984	95133202	0	0	0
sp|O60907|TBL1X_HUMAN/sp|Q9BQ87|TBL1Y_HUMAN	2	0.855287611	3	0	114936080	0	0	45254280	110884800	0	0	0
sp|O75182|SIN3B_HUMAN	1	0.978116638	6	0	68683280	0	0	194716695	161127558	0	0	0
sp|O75367|H2AY_HUMAN	1	0.999932195	14	0	14471187902	0	0	11943762878	10876543176	0	7129221	7768300
sp|O75400|PR40A_HUMAN	1	0.993707889	7	24393568	273414464	22284771.19	17803756	366964746	589668621.3	18866547	0	0
sp|O75475|PSIP1_HUMAN	1	0.998576526	8	532559627	849246560	550801342	596545633	877133268	908889010	231422076	230817644	269116776
sp|O75494|SRS10_HUMAN	1	0.957850929	4	0	221122192	0	0	10991570	151647174	0	0	0
sp|O75530|EED_HUMAN	1	1	35	99185422	1.67E+11	29086150	70988868	1.41E+11	1.53E+11	34422804366	29043424328	29951933240
sp|O75533|SF3B1_HUMAN	1	1	58	710558283	20134350538	300688608	648468768	18100072196	17696409110	788943084	334294730	410586610
sp|O75643|U520_HUMAN	1	1	81	442162385	9988177303	771980333	655745377	7732936911	7572204914	552498473.8	86557195	141250711
sp|O75691|UTP20_HUMAN	1	0.999986734	17	4631423	947395548	5959353	0	518086424	639813301	0	8933098	0
sp|O75694|NU155_HUMAN	1	0.996863902	7	18577870	18692330	14959410	79597800	107902740	30629810	12886580	25902560	10951820
sp|O75821|EIF3G_HUMAN	1	0.901641152	2	0	0	0	0	39349350	15284320	0	0	0
sp|O75934|SPF27_HUMAN	1	0.986092839	5	6615323	93472112	0	5643786	121198274	28140490	0	0	19954330
sp|O75937|DNJC8_HUMAN	1	0.985543935	7	0	522613570	0	0	1461096966	183527492	0	0	0
sp|O75940|SPF30_HUMAN	1	0.928146497	3	0	47707432	0	43780952	40542720	71958392	0	0	0
sp|O94776|MTA2_HUMAN	1	0.999999688	16	0	1174174416	94694730	13152520	1576361039	1790420568	149998358	105112872	97455090
sp|O94880|PHF14_HUMAN	1	0.996908644	9	56947680	585059320	0	0	490373888	644698786	0	0	0
sp|O94906|PRP6_HUMAN	1	0.999989608	16	311023712	1085050912	13537580	13220470	675723536	1160072818	114007454	108249344	77041552
sp|O95104|SFR15_HUMAN	1	0.975764562	4	0	172727798	0	0	94448200	184112762	0	0	0
sp|O95232|LC7L3_HUMAN	1	0.98629421	5	0	293402806	0	72845232	289124688	305859746	0	0	78042736
sp|O95251|KAT7_HUMAN	1	0.983564482	5	4765291	137684778	0	0	185494308	132201040	0	6513686	5718530
sp|O95478|NSA2_HUMAN	1	0.895714349	2	0	64840080	0	0	32935440	0	0	0	0
sp|O95619|YETS4_HUMAN	1	0.900608386	2	0	47007320	0	0	15478380	29981990	0	0	0
sp|O95639|CPSF4_HUMAN	1	0.892420079	3	0	4024904	0	0	4247305	0	50471888	126801912	116939960
sp|O95718|ERR2_HUMAN	1	0.977533507	6	113108900	561591776	118493671	65467440	503755016	515975856	81008752	119835772	103703473
sp|O95758|PTBP3_HUMAN	1	0.964242591	1	0	138141600	0	0	0	117105904	0	0	0
sp|O95777|LSM8_HUMAN	1	0.857088543	2	0	33270250	0	0	28023500	23251230	0	0	0
sp|O95785|WIZ_HUMAN	1	0.988606043	6	0	546805526	0	0	850824586	39823767	0	0	0
sp|O95983|MBD3_HUMAN	1	0.995210817	8	0	695357726	0	0	624725796	550002434	23620140	18396830	81501630
sp|O96019|ACL6A_HUMAN	1	0.981464472	5	45681715	556135690	33113185	66699488	506293504	671126264	57875988	50684329	37868620
sp|P01009|A1AT_HUMAN	1	0.92413886	2	48044250	0	0	67927880	0	0	0	0	0
sp|P01011|AACT_HUMAN	1	0.943469667	1	2746524	0	0	3412517	0	0	0	0	0
sp|P01024|CO3_HUMAN	1	0.858299703	2	889726.8125	0	2204442	1509560	0	0	0	0	0
sp|P01834|IGKC_HUMAN/sp|P0DOX7|IGK_HUMAN	2	0.891540384	3	269892704	0	63632600	15064790	0	0	0	0	0
sp|P01857|IGHG1_HUMAN/sp|P0DOX5|IGG1_HUMAN	2	0.854072179	3	1602458848	0	1051459008	1702507520	0	0	99224552	64550920	0
sp|P02545|LMNA_HUMAN	1	0.99006101	5	0	477173696	61898942	359915322	511952704	461449640	0	0	161643200
sp|P02647|APOA1_HUMAN	1	0.992247063	6	365230048	714693088	56061770	79851858	1477608896	1651655680	149704080	118365179	124295742
sp|P02652|APOA2_HUMAN	1	0.980107375	4	5323180	0	187942223	50955340	0	0	0	0	0
sp|P02679|FIBG_HUMAN	1	0.891766197	2	73529312	0	0	0	0	0	0	0	0
sp|P02787|TRFE_HUMAN/sp|TRFE_HUMAN|	2	0.972206706	7	227645140	0	28153670	176452580	157893904	0	48992280	0	30683800
sp|P03971|MIS_HUMAN	1	0.879324175	2	41488420	0	0	0	0	53124232	0	0	0
sp|P04114|APOB_HUMAN	1	0.931273668	1	0	24832690	0	9729866	0	4766484	0	0	0
sp|P04264|K2C1_HUMAN	1	1	2	4243088417	568788426	3385337090	4662794493	698664718	558105282	347941184	0	256992304
sp|P04406|G3P_HUMAN	1	0.950637689	4	78716831	371292064	23628604	94853132	446943232	155871696	50396488	73302990	39746888
sp|P05141|ADT2_HUMAN	1	0.978889931	2	18303290	296584096	22177250	22026360	290971808	241250312	35348780	61122830	51519600
sp|P05386|RLA1_HUMAN	1	0.894713234	2	10948490	61650410	0	0	0	295552809	0	0	0
sp|P05387|RLA2_HUMAN	1	0.973398771	4	0	1513698896	0	0	1526572080	810811320	0	0	0
sp|P05388|RLA0_HUMAN	1	0.999888705	1	0	447020192	0	0	0	401295200	0	0	19175810
sp|P05455|LA_HUMAN	1	0.943726499	3	46199020	867743088	37552660	423248596	462186144	448123048	0	50243300	48028880
sp|P06576|ATPB_HUMAN	1	0.986008669	4	0	251524867	0	0	112234754	176412033	0	0	16117370
sp|P06748|NPM_HUMAN	1	0.999889741	15	143923934	7477337388	184831744	240409760	6850619476	9281196672	2726099674	1905183092	1621977857
sp|P07332|FES_HUMAN	1	0.901410186	1	0	0	0	0	0	0	0	0	3175720
sp|P07437|TBB5_HUMAN	1	0.999158578	4	46966791	2824521872	44104585	0	1995021360	638477912	0	19416930	14609460
sp|P07910|HNRPC_HUMAN	1	0.999750792	5	289910618	4706613648	179911372	270789966	3112680416	2992353696	642510280	642958190	915489940
sp|P08048|ZFY_HUMAN/sp|P17010|ZFX_HUMAN	2	0.910718716	4	0	224243998	0	10093860	184165130	176699696	20019210	17851890	15742680
sp|P08238|HS90B_HUMAN	1	0.946505252	3	0	34074952	0	0	58247080	66112560	0	0	0
sp|P08579|RU2B_HUMAN	1	0.972614763	5	151110442	247784704	127745962	210437580	779657832	320841472	67911040	86761532	46359850
sp|P08621|RU17_HUMAN	1	0.999995683	19	1150427205	4583311187	906610256	1115680749	4314912898	5227000424	767735569	428368886	368891141
sp|P08670|VIME_HUMAN	1	0.999303947	7	18941300	622658070	15883790	35913730	474499258	553340088	71144728	21157190	16982420
sp|P08708|RS17_HUMAN	1	0.994546711	6	65419850	3648979900	55609504	128087810	3983987430	3323227028	272236848	234615166	254165852
sp|P08865|RSSA_HUMAN	1	0.999611127	10	0	3576814852	0	0	2683375644	3600022644	36357100	0	0
sp|P09234|RU1C_HUMAN	1	0.914433751	3	0	408155584	38623472	0	434917824	374682596	0	99734520	93821954
sp|P09651|ROA1_HUMAN	1	0.999987734	9	932376616	592069317	782294628	1016204794	1230279436	1256955234	798867991	1034458338	652307560
sp|P09661|RU2A_HUMAN	1	0.997099991	11	206257720	831253781	243208272	91398578	859002368	770812216	73214672	32384230	66780400
sp|P09874|PARP1_HUMAN	1	0.99999137	17	3265489	963671304	32450590	31630700	924881748	1211130138	120183963	55066912	87419338
sp|P0DN76|U2AF5_HUMAN/sp|Q01081|U2AF1_HUMAN	2	0.986146842	4	87805781	1127835071	263457771	416811462	453184858	432504320	127066810	275641040	132174272
sp|P10412|H14_HUMAN	1	0.992454366	5	0	137002254	0	0	7136492	95173200	0	0	0
sp|P10809|CH60_HUMAN	1	0.902313838	2	2274609	33105530	0	0	13251680	10618300	0	0	0
sp|P11021|BIP_HUMAN	1	0.996231933	5	13739940	132509112	0	14433490	122587688	98398584	9978469	0	0
sp|P11142|HSP7C_HUMAN	1	1	24	416018792	23963902412	582930082	724259016	16328986352	17096216108	746366954	622251440	667802796
sp|P11387|TOP1_HUMAN	1	0.98667671	4	61894390	0	318763350	186576896	201969552	116573904	23666870	1197295946	20140730
sp|P11388|TOP2A_HUMAN	1	1	24	6556174	28682857294	53119452	112227957	21745688930	28764113148	228054626	202710594	59750729220
sp|P11532|DMD_HUMAN	1	0.866080096	1	0	0	0	0	0	72694960	0	0	0
sp|P12235|ADT1_HUMAN	1	0.919844748	1	0	9506990	0	0	0	8597636	0	0	0
sp|P12270|TPR_HUMAN	1	0.988808699	8	46732943	80341112	13269920	156972435	189743442	147768757	134136728	13569820	9111970
sp|P14678|RSMB_HUMAN/sp|P63162|RSMN_HUMAN	2	0.96993911	8	694042240	2828713268	360403168	718749506	1613716848	2500765528	413556528	283917620	291014684
sp|P14866|HNRPL_HUMAN	1	0.999983494	15	299129462	2546796977	349805220	351680486	2286468608	2541604146	266985372	310559198	283593316
sp|P14923|PLAK_HUMAN	1	0.999356682	9	479508791	504442016	313734070	440177819	384610022	39280270	0	0	0
sp|P15880|RS2_HUMAN	1	0.999948567	15	180831190	16007827200	84413745	188234890	12852034208	6458125600	363798164	188064047	269266971
sp|P15924|DESP_HUMAN	1	0.999999074	21	570368209	375444597	334537952	604235078	0	0	0	0	0
sp|P16104|H2AX_HUMAN	1	0.99916276	1	0	11514970	0	0	0	0	0	0	0
sp|P16401|H15_HUMAN	1	0.990933481	5	40507600	1302064224	33874840	47725792	1347612627	869228608	62499975	103645132	46380260
sp|P16415|ZN823_HUMAN	1	0.858192352	1	0	840024128	1432455936	0	0	68097136	0	0	1264349056
sp|P17096|HMGA1_HUMAN	1	0.90056136	2	158785528	12133350	148214140	184269656	0	0	88301030	56487248	43914288
sp|P17480|UBF1_HUMAN	1	0.99972805	13	315722350	1662860578	180305690	317182006	356971734	430839365	100523162	105796230	53223450
sp|P17844|DDX5_HUMAN	1	1	45	869165875.7	1.95E+11	695173490	933358524	1.76E+11	1.89E+11	1763787244	1525300451	764807109
sp|P18077|RL35A_HUMAN	1	0.998704564	10	0	1198934001	318116192	0	1348496860	1320872240	146752760	130752746	30482119
sp|P18124|RL7_HUMAN	1	0.999924213	13	135924716	5681797324	164143570	53059380	4470281759	5627744826	217676272	112914408	156963280
sp|P18583|SON_HUMAN	1	0.921492966	2	0	0	0	0	116545642	0	0	0	0
sp|P18621|RL17_HUMAN	1	0.990322988	6	24507170	3637889104	10580290	23323750	3103904312	3294238368	45386420	53949540	53742288
sp|P18754|RCC1_HUMAN	1	0.96579231	4	0	194718992	0	49090860	146995790	412937072	7197124	0	0
sp|P19338|NUCL_HUMAN	1	0.999985212	16	370018752	7606519896	325395474	434399900	8908577674	8494619666	420968476	436022595	336170304
sp|P19388|RPAB1_HUMAN	1	0.963526594	4	0	516820012	0	0	531658844	455284104	26433920	0	0
sp|P20226|TBP_HUMAN	1	0.850738572	2	0	45706054	0	0	0	0	0	0	0
sp|P20700|LMNB1_HUMAN	1	1	27	666267826	7211601997	442791030	1093166052	7177228174	9957882092	1356728052	1069024092	693392068
sp|P22087|FBRL_HUMAN	1	0.999855325	13	419776111	3890287568	678964776	325457544	3115815080	3097244704	297720556	550467418	590486520
sp|P22626|ROA2_HUMAN	1	0.999999926	22	4957628990	5329018521	3645968985	4907828527	5341148574	4719970850	4118259682	4435515128	3893527292
sp|P23246|SFPQ_HUMAN	1	0.999974042	16	1236732441	1287187378	1033158978	2147302737	1097246427	957270342	1311145744	675026360	618218248
sp|P23284|PPIB_HUMAN	1	0.943058667	3	139591400	0	109753092	145523044	0	0	0	0	0
sp|P23396|RS3_HUMAN	1	0.999999763	23	261194276	6716987120	69780410	145670940	7899419448	7078076428	1909894156	275936988	170621540
sp|P24928|RPB1_HUMAN	1	1	39	114404166	1606918647	41490345	71487396	3489818507	3003880969	61065360	76787428	257116314
sp|P25205|MCM3_HUMAN	1	0.973105991	4	2726729	35137032	0	4123806	26575300	34497730	0	0	0
sp|P25398|RS12_HUMAN	1	0.996485346	7	71873467	3446200032	66786956	11953549	2382832568	2838272608	154752893	106315600	158539262
sp|P25490|TYY1_HUMAN	1	0.961208618	3	0	87400102	1636922	0	34528296	57171348	2224463	0	1695716
sp|P25705|ATPA_HUMAN	1	0.995191807	8	14517800	1499890926	0	14578720	890200307	1380911680	0	32230390	0
sp|P26358|DNMT1_HUMAN	1	0.988481036	6	96972944	0	24193830	99772852	24307290	85764428	0	20910270	4749446
sp|P26368|U2AF2_HUMAN	1	0.999992397	17	429838496	74777542424	170200310	262491471	69966252380	73003013867	303889514	90540460	128219339
sp|P26373|RL13_HUMAN	1	0.999583595	13	51329992	3920575268	30832599040	33127829504	5098078106	4362059102	16820735376	124404096	125294704
sp|P26599|PTBP1_HUMAN	1	0.999143886	6	240382315	779340400	25993520	215487594	673009364	707069010	181495344	164530727	165552752
sp|P27635|RL10_HUMAN	1	0.999621021	6	0	706181224	0	0	363245882	693582776	0	0	0
sp|P28370|SMCA1_HUMAN	1	0.999996582	4	62563360	634986818	47532840	0	647800564	563443776	163558496	181781234.7	118520704
sp|P29375|KDM5A_HUMAN	1	0.947084745	3	0	56991400	0	0	61789320	78326838	0	0	0
sp|P30050|RL12_HUMAN	1	0.998107328	9	0	2194957440	0	0	2036383890	1624580706	0	29168420	0
sp|P30153|2AAA_HUMAN	1	0.940222185	4	0	34262080	0	0	11111100	24728188.63	5455573	0	0
sp|P30260|CDC27_HUMAN	1	0.962963881	5	0	58762038	0	0	11546860	421897276	14850100	9664290	31590840
sp|P30876|RPB2_HUMAN	1	0.999998541	21	35873780	1489021416	43546800	37237604	1395476912	1583368148	83487629	38051323	60138168
sp|P31040|SDHA_HUMAN	1	0.960028181	2	88716810	668592512	79104542	102244318	735738981	641178104	63787318	0	25193540
sp|P31483|TIA1_HUMAN	1	0.99532253	5	100451797	55986360	80555949	119256228	7553866	0	71067712	90422990	60605568
sp|P31942|HNRH3_HUMAN	1	0.944293507	3	30452680	61954368	80779560	170130900	40606220	38491080	27796380	19150990	19496770
sp|P31943|HNRH1_HUMAN	1	0.99997894	9	25742340	2510833717	0	675822976	2576646402	2162749640	194675674	0	138583510
sp|P31944|CASPE_HUMAN	1	0.856427522	2	7572370	0	5151602	3735683	0	0	0	0	0
sp|P32969|RL9_HUMAN	1	0.988050453	6	39751552	2020322880	37800100	26539700	1484075796	1599232264	102711428	89850072	84531012
sp|P33240|CSTF2_HUMAN	1	0.890813201	3	0	22679090	0	0	12563390	0	29564970	0	21872130
sp|P33991|MCM4_HUMAN	1	0.947514516	3	0	34655150	0	0	41795820	87383530	0	0	0
sp|P35221|CTNA1_HUMAN	1	0.998628831	8	0	56174370	0	0	234127881	166820370	0	0	0
sp|P35222|CTNB1_HUMAN	1	0.997981313	6	0	222088752	0	0	400420722	290829684	0	0	0
sp|P35227|PCGF2_HUMAN	1	0.940574302	2	0	126903980	0	0	31380030	126620680	0	0	0
