"ProteinID","n_proteins","protein_score","n_peptides","MDA_GD3","MDA_GD2","MDA_GD1","MDA_HG1","MDA_HG3","MDA_HG2","MDA_GD1","MDA_GD2","MDA_GD3","MDA_HG1","MDA_HG2","MDA_HG3","MDA_GD1_sim","MDA_GD2_sim","MDA_GD3_sim","MDA_HG1_sim","MDA_HG2_sim","MDA_HG3_sim"
"sp|P61769|B2MG_HUMAN",2,0.814035217,3,89588544,92535696,90920144,325909792,581147216,584796728,18.3254921407573,18.3431050307441,18.3107380126279,19.6021311893828,20.186774871309,20.1805146665409,18.2974572292461,18.3241457285354,18.3037998800208,19.3502629437821,20.2882097729323,19.8994116017608
"sp|B7ZAQ6|GPHRA_HUMAN/sp|P0CG08|GPHRB_HUMAN",2,0.728398105,2,46401712,80102992,90376112,69498760,0,72832920,18.3194905426552,18.1988237646493,17.6528469130675,18.0568194686492,18.1036786087585,NA,18.2346247391001,18.3901547780469,17.8617793844397,18.0968205443258,18.1431691742622,18.0583077970154
"sp|B7ZW38|HNRC3_HUMAN/sp|O60812|HNRC1_HUMAN/sp|P0DMR1|HNRC4_HUMAN",3,0.715197994,1,0,0,0,42788808,0,22290160,NA,NA,NA,17.5717871310291,16.9196558834431,NA,NA,NA,NA,16.6951812999309,17.3179885582777,17.0242980181445
"sp|P55957|BID_HUMAN",2,0.885290641,4,304917278,357833086,383664910,254928286,237837344,233052440,19.7652800993803,19.6955771954177,19.5355510781128,19.3564928321972,19.2667740505845,19.2870975694206,19.8640288048343,19.7209065542607,19.66981694286,19.2916563629869,19.3421750490216,19.2750350133157
"sp|C9JLW8|MCRI1_HUMAN",1,0.997030786,1,0,0,106078600,0,0,0,18.479690886728,NA,NA,NA,NA,NA,18.5725335622169,18.1015112983857,17.9173771366494,NA,NA,NA
"sp|P04040|CATA_HUMAN",2,0.999999999,32,9236844808,9435463558,10635555138,21050339058,21226511101,22219482213,23.08746848339,22.9677411463035,22.9464661932898,23.7701825042135,23.8242353181411,23.778516761003,23.0734195894335,23.0538000074111,23.046318534491,23.740064043166,23.7953186826346,23.7607875378002
"sp|P07339|CATD_HUMAN",2,0.999980808,18,1878867084,1990887998,2193689820,6723431682,6452868536,7059449604,21.5088508123235,21.4118466063025,21.3539348172493,22.6288645280998,22.6776329256392,22.5877906031527,21.3375380289321,21.5005074279243,21.3682600369797,22.614981398406,22.6835891938955,22.5961269964634
"sp|P00167|CYB5_HUMAN",2,0.885132833,4,828061022,861765820,895717352,1981443712,1303801894,2069592520,20.6131354658156,20.5744941211852,20.5345974077016,21.4070915634287,21.4506175746046,20.9885503671305,20.5295844703062,20.5371588180063,20.5110720592808,21.2437677304215,21.2234169824274,21.3872832631586
"sp|P99999|CYC_HUMAN",2,0.949287529,6,1715235408,1900792434,1992428342,1611842008,1667384080,1585989032,21.4126200041174,21.3655367066954,21.2628161722844,21.200643466302,21.1844740446244,21.2345218160962,21.4301345743905,21.2998124733823,21.5491791065841,21.2245296272404,21.1771881290669,21.1977589447838
"sp|E9PAV3|NACAM_HUMAN/sp|Q13765|NACA_HUMAN",2,0.838027293,4,907079672,1206990668,1330207012,1204344856,912919082,1088677788,21.0086004151885,20.9113960474661,20.6257408454564,20.9092015680703,20.8082297583286,20.6321578059349,20.6947469027495,20.9344976702742,20.9522240489675,20.8124987000144,20.759834013478,20.8403594062781
"sp|E9PRG8|CK098_HUMAN",1,0.999974075,1,0,0,110746304,129744000,139850400,129782000,18.5227525938721,NA,NA,18.6810738361665,18.6813666777336,18.7560838378155,18.5952655791196,18.0180221240182,18.5165393351651,18.6659230377432,18.7529198456687,18.6879556770638
"sp|P06396|GELS_HUMAN",2,0.995193316,7,140992113.9,295022638.7,302476554,509646023.6,309565862.3,498812361,19.5275143249933,19.5025626527156,18.7642145169911,20.0492269713311,20.0277405529386,19.5506814297114,19.0273159971143,19.7945845788404,19.220137135976,20.4242819377852,19.8389100398343,20.1077625210198
"sp|P09211|GSTP1_HUMAN",2,0.649474211,1,0,28126860,31304540,0,32500090,0,17.2592736929153,17.1522355496355,NA,NA,NA,17.2967534165269,17.2080911036877,17.1729782461438,17.1599219090908,17.687097798595,17.3443144259188,17.2203870371449
"sp|I0J062|PANO1_HUMAN",1,0.758719892,1,0,0,136735600,0,0,0,18.7335596920764,NA,NA,NA,NA,NA,18.1255173524674,19.2518111821748,19.0033435094329,NA,NA,NA
"sp|L0R6Q1|S35U4_HUMAN",1,1,3,0,115960134,22653980,325146448,314539616,313598676,16.9358461118961,18.5687570175879,NA,19.5997862480309,19.5636246244928,19.5666205911957,17.0599415609087,15.3228384579543,16.3539020083194,19.5899515264482,19.5452076398985,19.5426521831481
"sp|L0R8F8|MIDUO_HUMAN",1,0.885689189,1,0,0,0,38644580,0,40859260,NA,NA,NA,17.4699170903052,17.5256440365681,NA,NA,NA,NA,17.4568315518649,17.4577808739776,17.457373276078
"sp|P02144|MYG_HUMAN",2,0.649415887,1,76350200,0,0,0,0,0,NA,NA,18.1508412091409,NA,NA,NA,17.7692692883827,17.7068865446585,18.1983395697658,NA,NA,NA
"sp|Q15843|NEDD8_HUMAN",2,0.639072722,1,64709208,0,308905408,0,83635168,0,19.5485456650195,NA,17.9854140677374,NA,NA,18.2419746594546,18.4579658362555,18.5987442489467,19.2797936852395,18.0196350177716,17.9824380460075,18.2487984537269
"sp|O00115|DNS2A_HUMAN",1,1,5,64812950,352586184,71463678,619476942,918296100,881155992,18.0846998785885,19.6808056439499,17.987015987035,20.2443860380018,20.5967452306558,20.6380304455966,19.2626403858949,19.8139592200841,20.0766048972334,20.142115251126,20.5058642214999,20.6817692731879
"sp|O00116|ADAS_HUMAN",1,1,10,124895004.9,167023769,146152060,108349940,172944996,147145860,18.80015814453,18.9336466895945,18.6429839815018,18.5008767321855,18.8069348976914,18.9684841597112,18.8374205954654,18.9545952612014,18.5958119201087,18.6903251751294,18.7394990761417,18.720531319785
"sp|O00148|DX39A_HUMAN",1,1,6,443758170,486031416,1049894904,690210276,661116866,649763648,20.7719559046778,20.0017838217509,19.910790309852,20.3525068569555,20.2921192362672,20.3094411840038,20.2176055981778,20.4566455996114,20.8511050035409,20.3927724598677,20.3208730536969,20.3445566957005
"sp|O00151|PDLI1_HUMAN",1,1,6,125491740,211842198,185651273,169377172,343860482,152041060,19.0393805955528,19.1713522064144,18.647750497637,18.9476385731323,18.8396611739105,19.6557465574883,19.1045372088339,18.7382136578877,18.7589412591152,18.2506689522451,18.9301261751473,19.5943276949544
"sp|O00154|BACH_HUMAN",1,1,8,506300044,537876088,511961048,348780068,382609382,394017014,20.0537591019847,20.1031387718958,20.0426400238451,19.6699521038709,19.791904649071,19.7625251363635,20.0467940684787,20.0849961331882,20.0980052973582,19.716879401081,19.6894734765261,19.6296660060301
"sp|O00159|MYO1C_HUMAN",1,1,15,212484568,128110338,155413204,308604516,231378976,194007864,18.8615979601132,18.6684024661868,19.1743799225152,19.5475711316165,19.0834092522885,19.259567512935,18.7984926752378,19.0186637328991,19.1572272195701,19.4399835414944,19.4909239270028,19.6327154152083
"sp|O00160|MYO1F_HUMAN",1,0.938292615,3,1197522,82287214,113728036.4,6219389,31526140,303443488,18.5493205105583,18.2257262951332,13.995764979706,15.6431822283791,19.5307059501378,17.2663276009378,21.527197747128,19.9670027688659,19.0426802092339,15.2915620488577,12.7148512305726,14.6826858162173
"sp|O00161|SNP23_HUMAN",1,1,4,68740365,83676496,83093264,219586426,193536359,215304952,18.2354741975751,18.2424686835992,18.0458471392351,19.207256453303,19.1875659625346,19.0809759545916,18.1723453239055,18.2246514195693,18.1895061095749,19.1709273510009,19.1696109607605,19.1401884373051
"sp|O00165|HAX1_HUMAN",1,1,4,18750800,119109098,27461020,81566233,76142620,65654094,17.1282781025523,18.5955504209966,16.7467469761372,18.2169259230163,17.999910517774,18.1481187186234,17.1206450818,16.5574863267426,17.950091742485,18.0516091211313,18.1291442511913,18.0055804172406
"sp|O00170|AIP_HUMAN",1,1,8,451054008,404396928,433180796,435319132,353625378,375683532,19.8866657415452,19.8179074486426,19.9270976419603,19.8915899568547,19.7442576767382,19.6837486565144,19.9007899720644,19.9149056607764,19.9740535903059,19.7644745519172,19.8053621378633,19.8051391046931
"sp|O00186|STXB3_HUMAN",1,1,4,0,25161540,23255660,0,63116430,40642248,16.9620591012309,17.0408271961905,NA,NA,17.5203186746653,17.960491673967,16.9969652839656,16.9896775601964,16.9142092375955,17.6447920493178,17.5717364226989,17.4695596851512
"sp|O00193|SMAP_HUMAN",1,1,3,66858560,216387618,178257138,56796768,58322512,64367688,18.9987376613377,19.192581885185,18.0180899011832,17.854989980664,17.980122326031,17.8814987174394,18.3595282637532,18.41340772423,18.6945958097812,17.9805784395874,17.770175054523,17.9869602973321
"sp|O00194|RB27B_HUMAN",1,1,3,0,0,16014220,8047295,84171302,8743672,16.5889876354996,NA,NA,15.900846568081,15.9838407966985,18.2483645897624,16.9315923426218,15.4474692958226,15.4786340752422,16.3063947132471,16.7744386387146,16.9156668966585
"sp|O00203|AP3B1_HUMAN",1,1,8,153212000,91118620,135299148,30482230,90356730,104410782,18.7229987960037,18.3276727321246,18.8473331411849,17.2326544488361,18.4638435039423,18.3192760603302,18.6108567133825,19.0968512883217,18.8129935986745,19.0028178731977,17.110593686646,18.6422513085463
"sp|O00204|ST2B1_HUMAN",1,1,6,67243630,170289119,275606728,51030760,0,326490122,19.4344855089974,18.9530082504619,18.0238328507703,17.7479391461293,19.6039102520118,NA,18.5941522054505,19.6540850491578,19.7059316450022,17.6813537838812,18.0807167344372,18.5072925727176
"sp|O00217|NDUS8_HUMAN",1,1,2,0,0,0,19346160,11936950,27600060,NA,NA,NA,16.7780045081339,17.1333285045981,16.2951491894113,NA,NA,NA,16.8704181153841,18.0228244555533,16.5118647008584
"sp|O00231|PSD11_HUMAN",1,1,15,1155189040,1656351050,1316610574,1023852234,1277587388,1335564740,20.9983265242585,21.2278828571584,20.8675298385232,20.7468380504167,21.0126200655655,20.968239283182,21.1324174852177,21.1606038296752,21.3085664236281,20.885500231493,20.7876919230089,21.025352114271
"sp|O00232|PSD12_HUMAN",1,1,8,269678512,632635150,889537742,575085328,424546928,676289648,20.606212494749,20.2654044316298,19.4127411112243,20.1700289842737,20.3321320156115,19.8665331064866,20.7353928763706,20.148699979727,20.5318693064794,20.088106296992,20.0286193750014,20.3273922072352
"sp|O00233|PSMD9_HUMAN",1,1,4,44923248,206495472,234265286,109031648,106415760,164376572,19.2719647320232,19.1457890427642,17.6204659915429,18.5071487466743,18.9176705243487,18.4828642442038,19.2671630173682,20.3275857627337,17.3887072154061,18.4329361048574,18.6212693117633,18.2480632996842
